Prospect_Name,Tier,Company_Legal_Name,Industry,Primary_Contact_Title,Contact_Strategy,LinkedIn_Search_Query,Email_Domain,Phone_Lookup,Notes,Priority,Outreach_Date
Wilson Sporting Goods,1,Wilson Sporting Goods Company,Sports Equipment,VP Sponsorships / Regional Marketing Manager,LinkedIn cold + company website,Wilson Tennis Sponsorship Manager,wilson.com,Corporate directory,Search for regional tennis sponsorship manager - company has established programs,1,Aug 26-27
SwingVision,1,SwingVision Inc.,Technology/SaaS,VP Partnerships / Business Development,LinkedIn direct + partnership-focused,SwingVision VP Partnerships + Business Development,swingvision.com,Company site,Growth-stage company - CEO/VP likely accessible; product-market fit high,1,Aug 26
Lululemon Athletica,1,Lululemon Athletica Inc.,Consumer Apparel,Local Community Partnerships Manager,LOCAL IN-PERSON + LinkedIn,Lululemon Community Partnerships Manager [CITY],lululemon.com,Local store GM,Start with local store visit - direct path to GM and community manager,1,Aug 26-27
Local Tennis Club,1,[Varies - local],Local/Community,Owner / General Manager,Direct call/visit,N/A - Local,N/A,Local phone,Visit during weekday morning (10-11 AM) - most accessible tier,1,Aug 26
CLIF Bar,2,CLIF Bar & Company,Sports Nutrition,Regional Sports Marketing Manager,LinkedIn cold + company,CLIF Bar Sports Marketing Manager,clifbar.com,Corporate directory,Mondelez-owned but CLIF has separate sponsorship team,2,Aug 28-30
Liquid IV,2,Liquid IV Technologies Inc.,Beverage/Sports,Sports Marketing Manager,LinkedIn cold + company,Liquid IV Sports Marketing Manager,liquid-iv.com,Corporate directory,PepsiCo-owned (as of 2024) but may have independent team,2,Aug 28-30
Peloton,2,Peloton Interactive Inc.,Technology/Fitness,VP Partnerships / Head Brand Partnerships,LinkedIn formal + company partnerships page,Peloton VP Partnerships + Business Development,pelotoncycles.com,Formal inquiry,Public company - formal process but partnership page may have direct contacts,2,Aug 28-29
CVS Health / Aetna,2,CVS Health Corporation,Healthcare/CSR,Director Community Relations,LinkedIn + corporate CSR page,CVS Health Community Relations Manager,cvs.com,Corporate directory,Large CSR budget - longer timeline (8-12 weeks) but strong fit,2,Aug 29-30
Local Wealth Management,2,[Varies - local],Financial Services,Owner / Managing Partner,Direct call/LinkedIn,N/A - Local wealth management,N/A,Local phone,Entrepreneurial owner-operated - personal relationship approach,2,Aug 29-30
Local Restaurant / Sports Bar,3,[Varies - local],Food & Beverage,Owner / General Manager,Direct call/visit,N/A - Local,N/A,Local phone,Fastest decision cycle (2-4 weeks) - good for momentum,3,Aug 30-31
Microsoft,3,Microsoft Corporation,Technology/CSR,Community Partnerships Manager,LinkedIn formal + company programs,Microsoft Community Partnerships Manager,microsoft.com,Formal inquiry,Longer timeline (8-16 weeks) - track but lower priority early on,3,Sept 1-2
Local Insurance Agency / Broker,3,[Varies - local],Financial Services,Owner / Principal,Direct call/LinkedIn,N/A - Local,N/A,Local phone,Very accessible entrepreneurial contact - good backup option,3,Aug 31-Sept 1
